slider_0_to_10,cutoff_hz
0.000,46.9
0.007,46.9
0.015,46.9
0.022,46.9
0.030,46.9
0.037,46.9
0.045,46.9
0.052,46.9
0.060,46.9
0.067,46.9
0.075,46.9
0.082,46.9
0.090,46.9
0.097,46.9
0.105,46.9
0.112,46.9
0.120,46.9
0.127,46.9
0.135,46.9
0.142,46.9
0.149,46.9
0.157,46.9
0.164,46.9
0.172,46.9
0.179,46.9
0.187,46.9
0.194,46.9
0.202,46.9
0.209,46.9
0.217,46.9
0.224,46.9
0.232,46.9
0.239,46.9
0.247,46.9
0.254,46.9
0.262,46.9
0.269,46.9
0.277,46.9
0.284,46.9
0.291,46.9
0.299,46.9
0.306,46.9
0.314,46.9
0.321,46.9
0.329,46.9
0.336,70.3
0.344,70.3
0.351,70.3
0.359,70.3
0.366,70.3
0.374,70.3
0.381,70.3
0.389,70.3
0.396,70.3
0.404,70.3
0.411,70.3
0.419,70.3
0.426,70.3
0.433,70.3
0.441,70.3
0.448,70.3
0.456,70.3
0.463,70.3
0.471,70.3
0.478,70.3
0.486,70.3
0.493,70.3
0.501,70.3
0.508,70.3
0.516,70.3
0.523,70.3
0.531,70.3
0.538,70.3
0.546,70.3
0.553,70.3
0.561,70.3
0.568,70.3
0.575,70.3
0.583,70.3
0.590,70.3
0.598,70.3
0.605,70.3
0.613,70.3
0.620,70.3
0.628,70.3
0.635,70.3
0.643,70.3
0.650,70.3
0.658,70.3
0.665,70.3
0.673,70.3
0.680,70.3
0.688,70.3
0.695,70.3
0.703,70.3
0.710,70.3
0.717,70.3
0.725,70.3
0.732,70.3
0.740,70.3
0.747,70.3
0.755,70.3
0.762,70.3
0.770,70.3
0.777,70.3
0.785,70.3
0.792,70.3
0.800,70.3
0.807,70.3
0.815,70.3
0.822,70.3
0.830,70.3
0.837,70.3
0.845,70.3
0.852,70.3
0.859,70.3
0.867,70.3
0.874,70.3
0.882,70.3
0.889,70.3
0.897,70.3
0.904,70.3
0.912,70.3
0.919,70.3
0.927,70.3
0.934,70.3
0.942,70.3
0.949,70.3
0.957,70.3
0.964,70.3
0.972,70.3
0.979,70.3
0.987,70.3
0.994,70.3
1.001,70.3
1.009,70.3
1.016,70.3
1.024,46.9
1.031,46.9
1.039,46.9
1.046,46.9
1.054,46.9
1.061,46.9
1.069,46.9
1.076,46.9
1.084,46.9
1.091,46.9
1.099,46.9
1.106,46.9
1.114,46.9
1.121,46.9
1.129,46.9
1.136,46.9
1.143,46.9
1.151,46.9
1.158,46.9
1.166,46.9
1.173,46.9
1.181,70.3
1.188,70.3
1.196,70.3
1.203,70.3
1.211,70.3
1.218,70.3
1.226,70.3
1.233,70.3
1.241,70.3
1.248,70.3
1.256,70.3
1.263,70.3
1.271,70.3
1.278,70.3
1.286,70.3
1.293,70.3
1.300,70.3
1.308,93.8
1.315,93.8
1.323,93.8
1.330,93.8
1.338,93.8
1.345,93.8
1.353,93.8
1.360,93.8
1.368,93.8
1.375,93.8
1.383,93.8
1.390,93.8
1.398,93.8
1.405,93.8
1.413,93.8
1.420,93.8
1.428,93.8
1.435,93.8
1.442,93.8
1.450,93.8
1.457,93.8
1.465,93.8
1.472,93.8
1.480,93.8
1.487,93.8
1.495,93.8
1.502,93.8
1.510,93.8
1.517,93.8
1.525,93.8
1.532,93.8
1.540,93.8
1.547,93.8
1.555,93.8
1.562,93.8
1.570,93.8
1.577,93.8
1.584,93.8
1.592,93.8
1.599,93.8
1.607,93.8
1.614,93.8
1.622,93.8
1.629,93.8
1.637,93.8
1.644,93.8
1.652,93.8
1.659,93.8
1.667,93.8
1.674,93.8
1.682,93.8
1.689,93.8
1.697,93.8
1.704,93.8
1.712,93.8
1.719,93.8
1.726,93.8
1.734,93.8
1.741,93.8
1.749,93.8
1.756,93.8
1.764,93.8
1.771,93.8
1.779,93.8
1.786,93.8
1.794,93.8
1.801,93.8
1.809,93.8
1.816,93.8
1.824,93.8
1.831,93.8
1.839,93.8
1.846,93.8
1.854,93.8
1.861,93.8
1.868,93.8
1.876,93.8
1.883,93.8
1.891,93.8
1.898,93.8
1.906,93.8
1.913,93.8
1.921,93.8
1.928,93.8
1.936,93.8
1.943,93.8
1.951,93.8
1.958,93.8
1.966,93.8
1.973,93.8
1.981,93.8
1.988,93.8
1.996,93.8
2.003,93.8
2.010,93.8
2.018,93.8
2.025,93.8
2.033,93.8
2.040,93.8
2.048,117.2
2.055,117.2
2.063,117.2
2.070,117.2
2.078,117.2
2.085,117.2
2.093,117.2
2.100,117.2
2.108,117.2
2.115,117.2
2.123,117.2
2.130,117.2
2.138,117.2
2.145,117.2
2.152,117.2
2.160,117.2
2.167,117.2
2.175,117.2
2.182,117.2
2.190,117.2
2.197,117.2
2.205,117.2
2.212,117.2
2.220,117.2
2.227,117.2
2.235,117.2
2.242,117.2
2.250,117.2
2.257,117.2
2.265,140.6
2.272,140.6
2.280,140.6
2.287,140.6
2.294,140.6
