Preset,A Byte,D Byte,S Byte,R Byte,A Slider,D Slider,S Slider,R Slider,Ams,Dms,Rms,LPF FRQ,Slider throw is 218px
A11 Brass,3,49,45,32,38,76,144,80,13.4,1605.8,337.4,109,
A12 Brass Swell,64,118,38,37,120,218,72,68,482.5,24000,518,160,
A13 Trumpet,5,66,48,16,54,122,102,46,35.3,3584.4,149.7,410,
A14 Flutes,23,81,0,18,82,152,0,54,138.5,7320.3,230.7,310,
A15 Moving Strings,13,87,88,35,68,124,126,70,80,3798.8,581.1,1692,
A16 Brass & Strings,44,66,53,44,104,128,96,100,306,4180,1896.8,1740,
A17 Choir,68,11,127,48,122,38,218,92,508.6,74.4,1397.2,598,
A18 Piano I,0,66,0,30,0,116,0,66,1.5,2971.3,468.7,762,
A21 Organ I,0,10,82,0,0,34,156,0,1.5,50.9,1.5,98,
A22 Organ II,0,10,82,0,0,32,132,0,1.5,49,1.5,362,
A23 Combo Organ,0,48,43,46,0,88,64,78,1.5,1191.7,814.7,679,
A24 Calliope,7,127,127,6,54,218,218,32,38,24000,41.7,4007,
A25 Donald Pluck,2,5,43,10,26,36,80,40,4.4,68.8,93,1789,
A26 Celeste,0,44,0,81,0,80,0,112,1.5,877.3,2674,292,
A27 Elect. Piano I,1,85,43,40,0,128,38,66,1.5,4199,494.3,82,
A28 Elect. Piano II,0,68,0,22,0,112,0,52,1.5,2692.2,228.3,257,
A31 Clock Chimes,0,48,0,51,0,96,0,94,1.5,1580,1550,169,
A32 Steel Drums,0,26,0,37,0,58,0,72,1.5,297.6,602.3,1526,
A33 Xylophone,0,29,29,38,0,58,12,64,1.5,299.5,426.8,136,
A34 Brass III,58,100,94,37,116,138,134,70,443.4,5359.7,567.6,1271,
A35 Fanfare,72,104,75,49,128,150,58,86,600.3,7030.6,1131.2,630,
A36 Strings III,63,31,127,45,126,52,218,98,589.5,223.4,1766.9,1457,
A37 Pizzicato,0,11,0,12,0,38,0,32,1.5,74.3,42.7,737,
A38 High Strings,18,44,127,40,74,80,218,82,97.9,890.4,930.4,2889,
A41 Bass Clarinet,11,75,0,25,,,,,,,,226,
A42 English Horn,8,81,26,16,58,150,56,42,44.6,7042.8,114.2,,
A43 Brass Ensemble,16,103,97,34,72,172,146,64,91.6,11100,405.8,,
